period,location,count
2012-01-01,"New York, US",1
2013-01-01,"Massachusetts, US",2
2013-01-01,"California, US",9
2013-01-01,"Berlin, DE",1
2013-01-01,"Ohio, US",1
2013-01-01,"New York, US",4
2013-01-01,"Pennsylvania, US",2
2013-01-01,"Saskatchewan, CA",1
2013-01-01,"Michigan, US",1
2013-01-01,"Västra Götalands län, SE",1
2013-01-01,"Minnesota, US",1
2014-01-01,"California, US",41
2014-01-01,"Tbilisi, GE",1
2014-01-01,"New York, US",27
2014-01-01,"Tokyo, JP",1
2014-01-01,"Pennsylvania, US",8
2014-01-01,"Al Rayyan Municipality, QA",1
2014-01-01,"England, GB",10
2014-01-01,"New South Wales, AU",1
2014-01-01,"Baja California, MX",1
2014-01-01,"Jönköpings län, SE",1
2014-01-01,"Massachusetts, US",10
2014-01-01,"Illinois, US",2
2014-01-01,"British Columbia, CA",1
2014-01-01,"Karnataka, IN",3
2014-01-01,"Ontario, CA",7
2014-01-01,"North Carolina, US",1
2014-01-01,"Ohio, US",4
2014-01-01,"New Jersey, US",3
2014-01-01,"Texas, US",9
2014-01-01,"Virginia, US",4
2014-01-01,"Connecticut, US",1
2014-01-01,"Nevada, US",2
2014-01-01,"Województwo małopolskie, PL",1
2014-01-01,"Tel Aviv District, IL",2
2014-01-01,"Indiana, US",2
2014-01-01,"Washington, US",2
2014-01-01,"Tamil Nadu, IN",2
2014-01-01,"Arizona, US",1
2014-01-01,"Delaware, US",1
2014-01-01,"Missouri, US",2
2014-01-01,Sweden,1
2014-01-01,"Georgia, US",1
2014-01-01,"Michigan, US",2
2014-01-01,"Maryland, US",3
2014-01-01,"Louisiana, US",1
2014-01-01,"San Juan, PR",1
2014-01-01,"Ho Chi Minh, VN",1
2014-01-01,"Hà Nội, VN",1
2014-01-01,"Auckland, NZ",1
2014-01-01,"Iowa, US",1
2014-01-01,Georgia,1
2014-01-01,"Québec, CA",1
2014-01-01,"Khyber Pakhtunkhwa, PK",1
2014-01-01,"Punjab, PK",1
2014-01-01,Singapore,1
2015-01-01,"Tbilisi, GE",2
2015-01-01,"New York, US",38
2015-01-01,"England, GB",16
2015-01-01,"New Jersey, US",9
2015-01-01,"California, US",51
2015-01-01,"Ontario, CA",13
2015-01-01,"São Paulo, BR",2
2015-01-01,"Karnataka, IN",3
2015-01-01,"Tamil Nadu, IN",1
2015-01-01,"Special Region of Yogyakarta, ID",1
2015-01-01,"Nairobi County, KE",1
2015-01-01,"Illinois, US",6
2015-01-01,"Hong Kong Island, HK",1
2015-01-01,"Respublika Tatarstan, RU",1
2015-01-01,"Florida, US",6
2015-01-01,"Tel Aviv District, IL",1
2015-01-01,"Massachusetts, US",14
2015-01-01,"Washington, US",3
2015-01-01,"Morelos, MX",1
2015-01-01,"North Carolina, US",5
2015-01-01,"Maryland, US",7
2015-01-01,"Connecticut, US",1
2015-01-01,"Uusimaa, FI",1
2015-01-01,"Bayern, DE",2
2015-01-01,"Nevada, US",1
2015-01-01,"Guanajuato, MX",2
2015-01-01,"Gujarat, IN",2
2015-01-01,"Casablanca-Settat, MA",1
2015-01-01,"Jalisco, MX",1
2015-01-01,"Minnesota, US",3
2015-01-01,"Georgia, US",2
2015-01-01,"Województwo małopolskie, PL",1
2015-01-01,"Colima, MX",1
2015-01-01,"Indiana, US",2
2015-01-01,"Bremen, DE",1
2015-01-01,"Arizona, US",1
2015-01-01,"Ohio, US",2
2015-01-01,"Texas, US",8
2015-01-01,"Ciudad de México, MX",2
2015-01-01,"San Juan, PR",1
2015-01-01,"Québec, CA",3
2015-01-01,"Tennessee, US",3
2015-01-01,"New Hampshire, US",2
2015-01-01,"Nebraska, US",1
2015-01-01,"Berlin, DE",3
2015-01-01,"Virginia, US",4
2015-01-01,"Pennsylvania, US",7
2015-01-01,"Uppsala län, SE",1
2015-01-01,"Mayagüez, PR",1
2015-01-01,"Missouri, US",3
2015-01-01,"Iowa, US",3
2015-01-01,"New South Wales, AU",1
2015-01-01,"Michigan, US",3
2015-01-01,"Baja California, MX",1
2015-01-01,"Victoria, AU",1
2015-01-01,"Colorado, US",2
2015-01-01,"San Luis Potosí, MX",1
2015-01-01,"Oregon, US",1
2015-01-01,"British Columbia, CA",2
2015-01-01,"Île-de-France, FR",1
2015-01-01,"Vermont, US",1
2015-01-01,"Australian Capital Territory, AU",1
2015-01-01,"Quebec, CA",2
2015-01-01,"Wisconsin, US",2
2015-01-01,"Louisiana, US",1
2015-01-01,"Nuevo León, MX",1
2015-01-01,"Western Australia, AU",1
2015-01-01,"Rajasthan, IN",2
2015-01-01,"Scotland, GB",2
2015-01-01,"Catalunya, ES",1
2015-01-01,"Greater Accra Region, GH",1
2015-01-01,"Islamabad Capital Territory, PK",1
2015-01-01,"Kyiv, UA",1
2015-01-01,"Rhode Island, US",1
2015-01-01,Singapore,1
2016-01-01,"New York, US",34
2016-01-01,"Pennsylvania, US",13
2016-01-01,"England, GB",23
2016-01-01,"Texas, US",16
2016-01-01,"Karnataka, IN",5
2016-01-01,"California, US",50
2016-01-01,"Berlin, DE",5
2016-01-01,"New Jersey, US",10
2016-01-01,"Georgia, US",9
2016-01-01,"Ontario, CA",20
2016-01-01,"Uusimaa, FI",3
2016-01-01,"Victoria, AU",3
2016-01-01,"Massachusetts, US",20
2016-01-01,"North Carolina, US",3
2016-01-01,"Illinois, US",6
2016-01-01,"Colorado, US",3
2016-01-01,"Noord-Holland, NL",1
2016-01-01,"Delhi, IN",4
2016-01-01,"Vaud, CH",1
2016-01-01,"Județul Timiș, RO",2
2016-01-01,"Sharjah, AE",1
2016-01-01,"Kaduna, NG",1
2016-01-01,"Ciudad de México, MX",2
2016-01-01,"Kansas, US",3
