period,theme,count
2009-01-01,Web,0
2009-01-01,COVID-19,0
2009-01-01,Voice skills,0
2009-01-01,Quantum,0
2009-01-01,Gaming,0
2009-01-01,DevOps,0
2009-01-01,Machine Learning/AI,0
2009-01-01,Serverless,0
2009-01-01,IoT,0
2009-01-01,Enterprise,0
2009-01-01,Robotic Process Automation,0
2009-01-01,Open Ended,0
2009-01-01,Design,0
2009-01-01,Cybersecurity,0
2009-01-01,Mobile,0
2009-01-01,Music/Art,0
2009-01-01,Communication,0
2009-01-01,Low/No Code,0
2009-01-01,Blockchain,0
2009-01-01,Databases,0
2009-01-01,Beginner Friendly,0
2009-01-01,AR/VR,0
2009-01-01,Social Good,0
2009-01-01,Lifehacks,0
2009-01-01,Health,0
2009-01-01,Education,0
2009-01-01,E-commerce/Retail,0
2009-01-01,Fintech,0
2009-01-01,Productivity,0
2010-01-01,Web,0
2010-01-01,COVID-19,0
2010-01-01,Voice skills,0
2010-01-01,Quantum,0
2010-01-01,Gaming,0
2010-01-01,DevOps,0
2010-01-01,Machine Learning/AI,0
2010-01-01,Serverless,0
2010-01-01,IoT,0
2010-01-01,Enterprise,0
2010-01-01,Robotic Process Automation,0
2010-01-01,Open Ended,0
2010-01-01,Design,0
2010-01-01,Cybersecurity,0
2010-01-01,Mobile,0
2010-01-01,Music/Art,0
2010-01-01,Communication,0
2010-01-01,Low/No Code,0
2010-01-01,Blockchain,0
2010-01-01,Databases,0
2010-01-01,Beginner Friendly,0
2010-01-01,AR/VR,0
2010-01-01,Social Good,0
2010-01-01,Lifehacks,0
2010-01-01,Health,0
2010-01-01,Education,0
2010-01-01,E-commerce/Retail,0
2010-01-01,Fintech,0
2010-01-01,Productivity,0
2011-01-01,Web,0
2011-01-01,COVID-19,0
2011-01-01,Voice skills,0
2011-01-01,Quantum,0
2011-01-01,Gaming,0
2011-01-01,DevOps,0
2011-01-01,Machine Learning/AI,0
2011-01-01,Serverless,0
2011-01-01,IoT,0
2011-01-01,Enterprise,0
2011-01-01,Robotic Process Automation,0
2011-01-01,Open Ended,0
2011-01-01,Design,0
2011-01-01,Cybersecurity,0
2011-01-01,Mobile,0
2011-01-01,Music/Art,0
2011-01-01,Communication,0
2011-01-01,Low/No Code,0
2011-01-01,Blockchain,0
2011-01-01,Databases,0
2011-01-01,Beginner Friendly,0
2011-01-01,AR/VR,0
2011-01-01,Social Good,0
2011-01-01,Lifehacks,0
2011-01-01,Health,0
2011-01-01,Education,0
2011-01-01,E-commerce/Retail,0
2011-01-01,Fintech,0
2011-01-01,Productivity,0
2012-01-01,Web,0
2012-01-01,COVID-19,0
2012-01-01,Voice skills,0
2012-01-01,Quantum,0
2012-01-01,Gaming,0
2012-01-01,DevOps,0
2012-01-01,Machine Learning/AI,0
2012-01-01,Serverless,0
2012-01-01,IoT,0
2012-01-01,Enterprise,0
2012-01-01,Robotic Process Automation,0
2012-01-01,Open Ended,0
2012-01-01,Design,0
2012-01-01,Cybersecurity,0
2012-01-01,Mobile,0
2012-01-01,Music/Art,0
2012-01-01,Communication,0
2012-01-01,Low/No Code,0
2012-01-01,Blockchain,0
2012-01-01,Databases,0
2012-01-01,Beginner Friendly,0
2012-01-01,AR/VR,0
2012-01-01,Social Good,0
2012-01-01,Lifehacks,0
2012-01-01,Health,0
2012-01-01,Education,0
2012-01-01,E-commerce/Retail,0
2012-01-01,Fintech,0
2012-01-01,Productivity,0
2013-01-01,Web,0
2013-01-01,COVID-19,0
2013-01-01,Voice skills,0
2013-01-01,Quantum,0
2013-01-01,Gaming,0
2013-01-01,DevOps,0
2013-01-01,Machine Learning/AI,0
2013-01-01,Serverless,0
2013-01-01,IoT,0
2013-01-01,Enterprise,0
2013-01-01,Robotic Process Automation,0
2013-01-01,Open Ended,0
2013-01-01,Design,0
2013-01-01,Cybersecurity,0
2013-01-01,Mobile,0
2013-01-01,Music/Art,0
2013-01-01,Communication,0
2013-01-01,Low/No Code,0
2013-01-01,Blockchain,0
2013-01-01,Databases,0
2013-01-01,Beginner Friendly,0
2013-01-01,AR/VR,0
2013-01-01,Social Good,0
2013-01-01,Lifehacks,0
2013-01-01,Health,0
2013-01-01,Education,0
