year,word,count
2009,nyc,61
2009,data,52
2009,city,51
2009,new,29
2009,map,24
2009,information,22
2009,york,20
2009,application,19
2009,find,19
2009,search,17
2009,roadify,17
2009,time,16
2009,way,15
2009,make,14
2009,community,14
2009,based,13
2009,see,13
2009,local,13
2009,people,13
2009,public,12
2009,phone,12
2009,neighborhood,12
2009,traffic,11
2009,help,11
2009,iphone,11
2009,allows,11
2009,easy,11
2009,location,11
2009,gov,10
2009,experience,10
2009,provides,10
2009,mobile,10
2009,events,10
2009,including,10
2009,street,10
2009,twitter,10
2009,nearest,10
2009,parking,10
2009,business,9
2009,subway,8
2009,applications,8
2009,locations,8
2009,simple,8
2009,parks,8
2009,explore,8
2009,results,8
2009,trees,8
2009,uses,7
2009,mine,7
2009,well,7
2009,free,7
2009,com,7
2009,site,7
2009,event,7
2009,via,7
2009,email,7
2009,available,7
2009,website,7
2009,open,7
2009,tools,7
2009,building,7
2009,live,7
2009,view,7
2009,online,7
2009,current,7
2009,web,7
2009,near,7
2009,every,7
2009,stations,7
2009,better,6
2009,us,6
2009,system,6
2009,info,6
2009,area,6
2009,interface,6
2009,developers,6
2009,service,6
2009,quickly,6
2009,much,6
2009,address,6
2009,times,6
2009,zip,6
2009,day,6
2009,platform,6
2009,step,6
2009,number,5
2009,cultural,5
2009,future,5
2009,first,5
2009,government,5
2009,bike,5
2009,comments,5
2009,serve,5
2009,problem,5
2009,level,5
2009,send,5
2009,code,5
2009,accessible,5
2009,average,5
2009,citizens,5
2010,data,163
2010,world,126
2010,application,114
2010,game,111
2010,food,96
2010,development,93
2010,tv,92
2010,new,78
2010,time,71
2010,information,68
2010,web,57
2010,based,57
2010,indicators,57
2010,bank,56
2010,nyc,55
2010,way,55
2010,see,52
2010,available,52
2010,people,51
2010,fun,51
2010,players,47
2010,countries,47
2010,find,45
2010,city,45
2010,play,44
2010,mobile,42
2010,de,41
2010,know,40
2010,health,39
2010,make,38
2010,free,37
2010,country,37
2010,player,37
2010,children,37
2010,public,36
2010,allows,36
2010,home,36
2010,samsung,35
2010,goals,35
2010,york,34
2010,simple,34
2010,healthy,34
2010,online,33
2010,access,32
2010,easy,32
2010,right,31
2010,map,31
2010,friends,31
2010,video,31
2010,need,30
2010,real,30
2010,sie,30
2010,help,29
2010,tool,29
2010,different,28
2010,learn,28
2010,show,28
2010,social,28
2010,et,28
2010,screen,27
2010,com,27
2010,questions,27
2010,day,27
2010,und,27
2010,energy,27
2010,choices,27
2010,iphone,26
2010,well,26
2010,points,26
2010,version,26
2010,live,26
2010,games,26
2010,mdg,26
2010,kids,26
2010,location,25
2010,eating,25
2010,share,25
2010,view,25
2010,internet,25
2010,des,25
2010,eat,25
2010,mdgs,25
2010,nutritional,25
2010,nutrition,25
2010,foods,25
2010,including,24
2010,level,24
2010,site,24
2010,phone,24
2010,shows,24
2010,sports,24
2010,progress,24
2010,may,23
2010,create,23
2010,via,23
2010,platform,23
2010,service,23
2010,interactive,22
2010,life,22
2010,website,22
2011,information,515
2011,data,416
2011,application,337
2011,time,280
2011,health,243
2011,flu,241
2011,mobile,226
2011,search,221
2011,help,218
2011,based,210
2011,available,193
2011,new,185
2011,location,184
2011,system,178
2011,web,177
2011,people,171
2011,vehicle,156
2011,access,154
2011,friends,153
2011,provides,152
2011,phone,148
2011,service,146
2011,find,145
2011,allows,141
2011,community,137
2011,well,131
2011,see,131
2011,make,131
2011,public,128
2011,social,127
2011,violence,120
2011,android,119
2011,com,117
2011,provide,115
2011,safety,114
2011,way,110
2011,city,109
2011,local,109
2011,network,109
2011,may,104
2011,real,104
2011,map,99
2011,need,97
2011,services,96
2011,smart,96
2011,share,95
2011,device,95
2011,technology,94
2011,iphone,93
2011,connected,93
2011,website,91
2011,research,90
2011,ipotato,90
2011,features,89
2011,us,89
2011,set,89
2011,free,88
2011,work,88
2011,facebook,88
2011,business,88
2011,emergency,88
2011,personal,87
2011,view,86
2011,cdc,85
2011,database,84
2011,easy,83
2011,risk,83
2011,message,82
2011,patient,82
2011,current,81
2011,within,81
2011,resources,81
2011,support,80
2011,platform,79
2011,sexual,79
2011,create,78
2011,even,78
2011,via,78
2011,drug,78
2011,dsrc,78
2011,devices,77
2011,tool,76
2011,around,76
2011,including,75
2011,healthy,75
2011,state,75
2011,campus,75
2011,want,73
2011,specific,73
2011,open,72
2011,button,72
2011,small,71
2011,site,71
2011,take,71
2011,traffic,71
2011,version,70
2011,first,70
2011,experience,69
2011,ability,69
2011,list,69
2012,data,399
2012,information,250
2012,time,241
2012,application,200
2012,energy,198
2012,based,173
2012,people,154
2012,new,153
2012,mobile,150
2012,make,136
2012,help,131
2012,easy,122
2012,notes,122
2012,simple,120
2012,see,117
2012,phone,117
2012,note,117
2012,create,115
2012,usage,115
2012,system,114
2012,allows,109
2012,mintchip,107
2012,available,106
2012,email,105
2012,vehicle,105
2012,find,104
2012,way,102
2012,access,101
2012,fuel,101
2012,need,99
2012,provides,99
2012,well,99
2012,provide,97
2012,features,96
2012,video,96
2012,money,95
2012,web,95
2012,share,94
2012,work,94
2012,button,90
2012,game,89
2012,set,89
2012,green,89
2012,android,89
2012,friends,86
2012,safety,85
2012,evernote,84
2012,real,82
2012,home,80
2012,location,80
2012,save,79
2012,device,79
2012,even,78
2012,number,76
2012,us,76
2012,want,75
2012,financial,75
2012,call,74
2012,technology,73
2012,social,73
2012,platform,72
2012,tool,72
2012,best,72
2012,via,71
2012,take,70
2012,facebook,70
2012,business,70
2012,iphone,69
2012,payment,69
2012,open,68
2012,car,68
2012,easily,67
2012,com,67
2012,page,66
2012,savings,66
2012,job,66
2012,videos,65
2012,designed,65
2012,ability,65
2012,list,65
2012,view,64
2012,design,64
2012,san,64
2012,current,63
2012,website,63
2012,different,63
2012,go,62
2012,send,62
2012,first,62
2012,automatically,61
2012,may,60
2012,parking,60
2012,every,59
2012,world,59
2012,city,59
2012,local,59
2012,multiple,59
2012,account,59
2012,pen,59
2012,day,58
2013,data,582
2013,time,475
2013,information,404
2013,mobile,325
2013,application,309
2013,game,255
2013,based,250
2013,people,225
2013,web,220
2013,new,219
2013,patients,219
2013,clinical,213
2013,help,202
2013,real,200
2013,make,193
2013,allows,187
2013,patient,186
2013,way,185
2013,see,181
2013,social,176
2013,energy,176
2013,easy,174
2013,create,166
2013,kaec,160
